ilot;type;timestamp;value
ilot1;co2;1505127194;357
ilot1;co2;1505127254;381
ilot1;co2;1505127314;344
ilot1;co2;1505127375;338
ilot1;co2;1505127435;351
ilot1;co2;1505127495;383
ilot1;co2;1505127555;404
ilot1;co2;1505127615;392
ilot1;co2;1505127675;383
ilot1;co2;1505127735;396
ilot1;co2;1505127795;391
ilot1;co2;1505127855;383
ilot1;co2;1505127915;361
ilot1;co2;1505127975;324
ilot1;co2;1505128036;359
ilot1;co2;1505128096;279
ilot1;co2;1505128156;318
ilot1;co2;1505128216;338
ilot1;co2;1505128276;332
ilot1;co2;1505128336;420
ilot1;co2;1505128396;435
ilot1;co2;1505128456;394
ilot1;co2;1505128516;428
ilot1;co2;1505128576;416
ilot1;co2;1505128637;443
ilot1;co2;1505128697;398
ilot1;co2;1505128757;408
ilot1;co2;1505128817;430
ilot1;co2;1505128877;430
ilot1;co2;1505128937;432
ilot1;co2;1505128997;453
ilot1;co2;1505129057;426
ilot1;co2;1505129117;426
ilot1;co2;1505129177;434
ilot1;co2;1505129238;412
ilot1;co2;1505129298;394
ilot1;co2;1505129358;398
ilot1;co2;1505129418;379
ilot1;co2;1505129478;387
ilot1;co2;1505129538;383
ilot1;co2;1505129598;371
ilot1;co2;1505129658;367
ilot1;co2;1505129718;346
ilot1;co2;1505129778;254
ilot1;co2;1505129839;285
ilot1;co2;1505129899;279
ilot1;co2;1505129959;291
ilot1;co2;1505130019;299
ilot1;co2;1505130079;314
ilot1;co2;1505130139;377
ilot1;co2;1505130199;310
ilot1;co2;1505130259;293
ilot1;co2;1505130319;312
ilot1;co2;1505130380;308
ilot1;co2;1505130440;314
ilot1;co2;1505130500;297
ilot1;co2;1505130560;318
ilot1;co2;1505130620;326
ilot1;co2;1505130680;306
ilot1;co2;1505130740;269
ilot1;co2;1505130800;283
ilot1;co2;1505130861;287
ilot1;co2;1505130921;293
ilot1;co2;1505130981;258
ilot1;co2;1505131041;248
ilot1;co2;1505131101;244
ilot1;co2;1505131161;220
ilot1;co2;1505131221;256
ilot1;co2;1505131281;248
ilot1;co2;1505131341;267
ilot1;co2;1505131402;275
ilot1;co2;1505131462;271
ilot1;co2;1505131522;310
ilot1;co2;1505131582;306
ilot1;co2;1505131642;316
ilot1;co2;1505131702;334
ilot1;co2;1505131762;342
ilot1;co2;1505131822;420
ilot1;co2;1505131882;412
ilot1;co2;1505131942;420
ilot1;co2;1505132003;430
ilot1;co2;1505132063;347
ilot1;co2;1505132123;428
ilot1;co2;1505132183;336
ilot1;co2;1505132243;318
ilot1;co2;1505132303;322
ilot1;co2;1505132363;361
ilot1;co2;1505132423;351
ilot1;co2;1505132483;361
ilot1;co2;1505132543;373
ilot1;co2;1505132604;408
ilot1;co2;1505132664;416
ilot1;co2;1505132724;414
ilot1;co2;1505132784;416
ilot1;co2;1505132844;402
ilot1;co2;1505132904;398
ilot1;co2;1505132964;375
ilot1;co2;1505133024;373
ilot1;co2;1505133084;377
ilot1;co2;1505133145;410
ilot1;co2;1505133205;389
ilot1;co2;1505133265;398
ilot1;co2;1505133325;396
ilot1;co2;1505133385;404
ilot1;co2;1505133445;420
ilot1;co2;1505133505;408
ilot1;co2;1505133565;420
ilot1;co2;1505133625;408
ilot1;co2;1505133685;418
ilot1;co2;1505133746;412
ilot1;co2;1505133806;402
ilot1;co2;1505133866;414
ilot1;co2;1505133926;379
ilot1;co2;1505133986;299
ilot1;co2;1505134046;396
ilot1;co2;1505134106;340
ilot1;co2;1505134166;312
ilot1;co2;1505134226;336
ilot1;co2;1505134286;330
ilot1;co2;1505134346;324
ilot1;co2;1505134407;326
ilot1;co2;1505134467;353
ilot1;co2;1505134527;326
ilot1;co2;1505134587;326
ilot1;co2;1505134647;320
